"comm","id","articulo","autor","subcomunidad","palabrasclaves","fecha"
"comm4105","45104","Algunas consideraciones  sobre propiedad  industrial en el marco  del proceso  de integración  de la Comunidad  Andina","Alemán, Marco Matías","Propiedad Intelectual","evolución de la fuente  normativa;proceso  de integración  andino;derechos  de propiedad industrial;Comunidad  Andina;Acuerdos Bilaterales;Normativa Regional","2018-07-06"
"comm4105","45105","La inconstitucional regulación laboral de los derechos intelectuales","Morles Hernández, Alfredo","Propiedad Intelectual","Propiedad   intelectual;dominio   público;derechos laborales;derechos   fundamentales;expropiación;constitución  democrática;derecho de la integración","2018-07-06"
"comm1","26434","Cronología política del período 1959-1964","Dávila, Luis Ricardo","Facultad de Ciencias Jurídicas y Políticas","Cronología;Política","2008-12-09"
"comm4105","46824","Un modelo para el desarrollo energético sostenible. La universidad, la geografía y los recursos endógenos","Vázquez Pérez, Antonio;Saltos Araus, Wilbert Manuel;Villacreces Viteri, Carlos Gustavo;Rodríguez Gámez, María","Revista Geográfica Venezolana","ambiente;desarrollo local;fuentes renovables de energía;ordenación territorial;universidad","2020-06-05"
"comm4105","46825","A corrida pelo El Dorado na Amazônia e a saga dos povos da floresta","Silva, Maria Liziane Souza;Silva, Maria das Graças Silva Nascimento","Revista Geográfica Venezolana","látex;trajetórias migrantes;nordestino;Brasil","2020-06-05"
"comm1","26157","Desarrollo humano sustentable local","González Cruz, Francisco","Facultad de Ciencias Jurídicas y Políticas","Desarrollo humano","2008-11-06"
"comm4105","45107","El régimen de los nombres de dominio y su relación  con las marcas","Arrieta Zinguer, Miguel","Propiedad Intelectual","nombres de dominio;internet;marca;ciberocupación","2018-07-06"
"comm4105","45097","Gestión y mantenimiento de la infraestructura vial y de obras públicas a través del Trabajo Personal Subsidiario en Venezuela. El caso de Mérida. 1828-1925","Rivero H., Yanixa R.","Provincia","Trabajo personal subsidiario;Urbano;Rural;Impuesto;Caminos;Vialidad;Obras públicas","2018-07-02"
"comm4105","45095","La paradoja político-ambiental ecuatoriana","Lalander, Rickard;Merimaa, Maija","Provincia","Ecuador;Discurso argumentativo;Ambientalismo-ecologismo;Extractivismo;Sumak Kawsay","2018-07-02"
"comm1","14556","Las marcas de certificación","Uzcátegui A., Astrid C.","Facultad de Ciencias Jurídicas y Políticas","Marcas de certificación;Marcas de garantía;Propiedad intelectual;Propiedad industrial;Derecho de marcas;Ley 9.279 de propiedad industrial;Derecho comparado;Herramienta de competitividad;Interés general","2007-04-23"
"comm1","31849","Teoría del delito y dolo eventual","Bolaños González, Mireya","Facultad de Ciencias Jurídicas y Políticas","Derecho penal","2010-11-11"
"comm1","29362","El sentido del proyecto de educación de la sistemología interpretativa (I)","Suárez Litvin, Roldan Tomasz","Facultad de Ingeniería","Educación;Sistemología interpretativa;Crisis de sentido;Postmodernidad","2009-09-09"
"comm4105","20541","Editorial","Aguilera, Oscar","Fermentum","Sociología;Antropología","2007-10-30"
"comm1","13244","Evolucionismo y Desarrollo Siglo XXI.","Neira Fernández, Enrique","Facultad de Ciencias Jurídicas y Políticas","Grupo del Observatorio de Política Internacional;Evolución;Desarrollo","2006-12-19"
"comm1","44274","Rostro genérico para máquinas que interactúan con personas","Dapena González, Eladio;Pérez Angulo, Jesús Alberto;Rivas Estrada, Rafael de Jesús;Guijarro, Alfonso","Facultad de Ingeniería","Rostros;Emociones;Máquinas","2018-01-10"
"comm1","13252","Actividades de un Web Master","Torréns Heeren, Rodrigo J.","Facultad de Ingeniería","World Wide Web;WWW;Internet;Diseño de sitios web;Metodologías para desarrollo de sitios web","2001-11-27"
"comm1","13253","Propuesta de Tesis: Desarrollo de Sistemas de Información Bioclimática","Torréns Heeren, Rodrigo J.","Facultad de Ingeniería","Sistemas de información;Sistemas de información web;Información Bioclimática;Metadatos;Internet","2002-06-04"
"comm4105","17407","Rasgos determinantes de las aptitudes emprendedoras que forman el perfil de los estudiantes de contaduría pública del núcleo universitario ""Rafael Rangel"".","López, Walevska N.;Montilla, Morelia;Briceño, Militza","Actualidad Contable FACES","Emprendedor;Rasgos psicológicos;Rasgos no psicológicos;Contaduría pública","2007-06-18"
"comm1","13256","Teleinformación en Venezuela","Torréns Heeren, Rodrigo J.","Facultad de Ingeniería","Sociedad de la información y el conocimiento;Brecha digital;Teleinformación;Tecnologías de información;Tecnologías de comunicación","2001-11-28"
"comm1","39747","Mérida, la genialidad del lugar","Rangel Mora, Maritza","Facultad de Arquitectura y Diseño","Mérida;ciudad;ambitectura;espacio vital;postgrado Desarrollo Urbano Local","2015-02-11"
"comm1","35449","Modelo de distribución espacial hábitat de Triatominos y zonas de riesgo de la enfermedad de Chagas en los municipios Andrés Bello y Morán del estado Lara, Venezuela","Sulbarán Romero, José Enrique","Facultad de Ciencias","Análisis Espacial;Hábitat;Triatominae;Epidemiología del Paisaje;Enfermedad de Chagas;Ecología de Enfermedades Infecciosas;Índice Ecológico de Riesgo","2009-11-11"
"comm1","33818","La red identitaria del ámbito central de Mérida","Colmenarez, Fatima;Dávila, Adriana;Rangel Mora, Maritza","Facultad de Arquitectura y Diseño","Valores identitarios;Patrimonio;Ámbitos centrales;Cátedra UNESCO;Estructuración en red","2011-10-03"
"comm1","13260","Estrategias para la Construcción de Sitios Web para Postgrados de la ULA","Torréns Heeren, Rodrigo J.","Facultad de Ingeniería","World Wide Web;WWW;Internet;Sistemas de información web;Arquitectura de la información;Diseño de sitios web;Metodologías para desarrollo de sitios web","2001-11-27"
"comm1","27839","Sobre el urbanismo y sus planteamientos desde el siglo XIX hasta hoy","Jugo Burguera, Luis","Facultad de Arquitectura y Diseño","Urbanismo;Siglo XIX","2009-04-22"
"comm1","29554","Home : La Tierra, Nuestro Hogar Ecológico","Jugo Burguera, Luis","Facultad de Arquitectura y Diseño","Ambiente;Ecología","2009-10-20"
"comm1","35453","Efecto de la exclusión del pastoreo sobre humedales altoandinos en la Sierra Nevada de Mérida","Valero Lacruz, Leida","Facultad de Ciencias","Humedales altoandinos,;Exclusión de pastoreo;Densidad aparente;Páramo;Estrategia comunitaria;Composición y estructura de la vegetación;Almacenamiento del agua en el suelo;Capacidad máxima de
retención de agua","2009-10-07"
"comm1","29777","Mérida 2009, primer paso para un programa de ciudades intermedias en Venezuela","Jugo Burguera, Luis","Facultad de Arquitectura y Diseño","Urbanidad;Educación;Participación;Proyectos Comunitarios","2009-11-11"
"comm1","13262","Desarrollo de un Sistema de Información Bio-Climática para el Edo Mérida","Torréns Heeren, Rodrigo J.","Facultad de Ingeniería","Sistemas de información;Sistemas de información web;Información Bioclimática;Metadatos;Internet","2002-06-04"
"comm1","25769","Hago esculturas para que la gente reflexione.","Colina de Dávila, Nancy","Facultad de Arquitectura y Diseño","Entrevista.;Ícono de la ULA","2006-06-28"
"comm1","25770","Paezada.","Páez Ortíz, Carlos","Facultad de Arquitectura y Diseño","Caricatura;Ícono de la ULA","2006-06-28"
"comm1","25772","Manuel de la Fuente, escultor español y profesor en Mérida.","Delgado, Rafael","Facultad de Arquitectura y Diseño","Reseñas y noticias;Ícono de la ULA","2006-06-28"
"comm1","25773","Esculturas y dibujos de Manuel de la Fuente.","Galea Portillo, Edith","Facultad de Arquitectura y Diseño","Artículo de opinión;Ícono de la ULA","2006-06-26"
"comm1","15686","La moraleja de una familia criolla: Los lobo venezolanos y sus primos cubanos, antes y despues de la revolución cubana","Ely, Roland T.","Facultad de Ciencias Jurídicas y Políticas","Ícono de la ULA","2008-09-11"
"comm1","25775","Manuel de la Fuente es siempre de bronce.","Guzmán, Patricia","Facultad de Arquitectura y Diseño","Artículo de opinión;Ícono de la ULA","2006-06-26"
"comm1","25777","Mensaje de Su Santidad Juan Pablo II: el monumento debe ser un símbolo y un centro de trabajo a favor de la paz.","Juan Pablo II","Facultad de Arquitectura y Diseño","Reseñas y noticias;Ícono de la ULA","2006-06-28"
"comm1","15690","La formulación e instrumentación de la política exterior del Brasil, 1964-1985","Ely, Roland T.","Facultad de Ciencias Jurídicas y Políticas","Ícono de la ULA","2008-09-11"
"comm1","15691","Brasil y Las Guyanas","Ely, Roland T.","Facultad de Ciencias Jurídicas y Políticas","Ícono de la ULA","2008-09-11"
